Key,English(en),Korean (South Korea)(to-KR)
Key_CorrectAnswerRate,Correct,정답률
Key_RunStop_GameState,Acquired Buffs,획득한 능력
Key_RunStop_QuestionList,Questions,문제 현황
Key_RunStop_CorrectAnswerRate,Correct,정답률
Key_RunStop_End,Go to lobby,그만하기
Key_BuffSelectPanel_Title,Choose Buff,능력 선택
Key_BuffSelectPanel_Notice,Choose the buff you want!,획득할 능력을 선택하세요!
Key_Dead,The Mathranger's HP has gone to zero!<br>You can't fight the Exam monster in this condition.<br>But solve the remaining questions and improve your skills! Squeak!,수학레인저의 체력이 0이 되어버렸쮸!<br>이 상태로는 시험 괴물과 싸울 수 없쮸...<br>그래도 남은 문제를 풀며 실력을 쌓아줘쮸!
Key_Rescue_Title,Mission emergency rescue,임무 긴급 구조
Key_Rescue_ResultTitle,Mission solving result,임무 풀이 결과
Key_Rescue_ResultListResult,Solving Result,풀이 결과
Key_Rescue_ResultListResult1,Solving Accuracy,풀이 정확도
Key_Rescue_ResultListResult2,Sloving Speed,풀이 속도
Key_Rescue_Button,Confirm,확인
