talker,selection,name,spriteType,isMultiContent,content
0,0,Town Jjhief,0,0,Well done.
0,0,Town Jjhief,0,0,……Squeak.
0,0,Town Jjhief,2,0,"Um, um. You are cool! I can trust you."
0,0,Town Jjhief,0,0,"Well, squeak, then……."
0,0,Town Jjhief,0,0,The Exam monster is very dangerous. You need to hide your identity.
0,0,Town Jjhief,1,0,I will give you a new name.
0,0,Town Jjhief,1,0,"Your new name, squeak, from now on…!"
0,0,Town Jjhief,1,0,From now on…………………!
0,0,Town Jjhief,1,0,From now on!!!!!!!!!!!!!!!!!!!!
0,0,Town Jjhief,2,0,[Nickname]!
0,0,Town Jjhief,2,0,……Squeak.
0,0,Town Jjhief,0,0,How is it? Do you like it?
0,0,Town Jjhief,0,0,[Nickname]. Congratulation on becoming the Mathranger.
0,0,Town Jjhief,0,0,Please repel the Exam monster and bring peace to our town.
0,0,Town Jjhief,0,0,…….
0,0,Town Jjhief,2,0,……Squeak.
